#Rome
9904;130;177;129;land;false;urban;1
13382;148;187;157;land;true;urban;1
13383;173;197;15;land;false;urban;1
#Paris
9523;128;135;199;land;false;urban;1
11506;170;138;72;land;false;urban;1
13384;20;16;78;land;false;urban;1
13385;34;175;69;land;false;urban;1
13386;101;172;142;land;false;urban;1
#London
6103;84;78;26;land;false;urban;1
11333;169;141;82;land;false;urban;1
13387;119;151;149;land;false;urban;1
13388;230;53;247;land;false;urban;1
13389;231;115;241;land;false;urban;1
#Prague
11542;170;183;207;land;false;urban;1
13390;33;44;207;land;false;urban;1
13391;254;95;223;land;false;urban;1
#Berlin
6521;86;99;46;land;false;urban;1
13392;99;73;93;land;false;urban;1
13393;99;224;127;land;false;urban;1
13394;154;193;99;land;false;urban;1
13395;229;55;102;land;false;urban;1
13396;213;42;237;land;false;urban;1
13397;55;186;57;land;false;urban;1
#Danzig
362;1;156;170;land;true;urban;1
13398;51;51;14;land;true;urban;1
#Warsaw
3544;44;159;148;land;false;urban;1
13399;251;124;80;land;false;urban;1
13400;74;246;223;land;false;urban;1
13401;175;117;240;land;false;urban;1
13402;86;47;37;land;false;urban;1
#Budapest
9660;129;96;49;land;false;urban;1
13403;249;67;93;land;false;urban;1
13404;85;183;146;land;false;urban;1
13405;26;120;207;land;false;urban;1
#Bucharest
9617;129;45;89;land;false;urban;1
13406;95;155;31;land;false;urban;1
13407;40;174;47;land;false;urban;1
#Minsk
11370;169;183;47;land;false;urban;1
13408;105;173;207;land;false;urban;1
13409;134;2;201;land;false;urban;1
#Kiev
525;2;123;155;land;false;urban;1
13410;45;236;171;land;false;urban;1
13411;31;36;250;land;false;plains;1
13412;210;117;125;land;false;urban;1
#Riga
9340;127;126;89;land;true;urban;1
13413;200;70;21;land;true;urban;1
13414;211;22;92;land;false;forest;1
#Leningrad
3151;42;159;138;land;true;urban;1
13415;153;183;137;land;true;urban;1
13416;224;215;165;land;false;urban;1
13417;221;217;47;land;false;forest;1
#Moscow
6380;85;168;96;land;false;urban;1
13418;76;188;163;land;false;urban;1
13419;165;130;47;land;false;urban;1
13420;190;129;76;land;false;urban;1
13421;247;103;30;land;false;urban;1
13422;201;228;38;land;false;urban;1
13423;137;190;161;land;false;urban;1
#Stalingrad
3529;44;138;193;land;false;urban;1
13424;164;244;181;land;false;urban;1
13425;168;69;207;land;false;urban;1
13426;164;242;247;land;false;urban;1
#Rostov
9417;128;6;184;land;true;urban;1
13427;40;155;177;land;true;urban;1
13428;105;2;48;land;true;plains;1
13429;220;30;38;land;false;urban;1
